"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"40(1,H5)","Unknown14","22006.80469","4161.81836","61464.32031","12994.5752","4351.96289","18942.56055","73327.03906","270134.9375","2821.69214","5447.44238","10306.98145","18465.71875","416217.75","8095.34375","4018.99878","1196"
"41(1,A6)","Unknown7","27080.1543","2980.42944","18294.90234","7126.77979","3058.82617","6981.81592","32812.65625","192360.8125","2759.83521","4246.29785","9607.97363","6689.28711","319956.53125","9632.94824","3304.7876","1303"
"42(1,B6)","Unknown8","19145.75781","3514.82446","32814.1875","12255.63281","3945.96289","14121.10449","24193.9043","108300.10938","2994.01025","4723.81055","9932.30273","8689.07227","379248.8125","6552.28613","3236.2478","1152"
"43(1,C6)","Unknown9","68703.52344","5216.97754","42569.875","11228.74219","3294.77344","26700.76562","100182.76562","210877.5","2723.09595","5169.50879","10107.67383","12598.12402","644936.25","9285.35938","4183.71191","1139"
"44(1,D6)","Unknown10","80144.05469","7269.81348","138137.76562","22342.72852","3483.19556","90067.82812","256180.625","261101.21875","2967.73511","9894.18457","13398.04395","21769.65625","351292.1875","8405.60645","5366.42285","1205"
"45(1,E6)","Unknown11","22650.77344","4685.99902","35365.89453","12351.28418","3669.05884","28390.10938","54297.91406","186441.46875","2902.90479","5082.72803","11557.98242","11538.26172","292778.6875","6437.19971","3649.85986","996"
"46(1,F6)","Unknown12","60530.30469","5348.59619","34093.375","15563.25684","3419.27319","19724.32617","97956.64844","87526.28125","2916.04248","8570.97656","10896.54297","14962.50293","398016.84375","5940.87402","4386.3291","1117"
"47(1,G6)","Unknown13","30167.10742","6910.46045","43153.23438","12445.87695","3618.88159","66404.44531","144054.14062","194680.64062","2995.32544","5374.64258","10714.64746","13982.75977","306835.875","7840.19775","3840.14038","1181"
"48(1,H6)","Unknown14","24740.29297","3944.53345","64960.51562","12556.5957","4743.52393","22078.33984","66737.21875","380760.28125","3086.01611","5308.3042","11081.21289","16434.91211","604311.125","9143.74121","3912.18262","952"
"49(1,A7)","Unknown15","45151.77734","4692.31738","15930.32324","15771.92188","2623.2417","5472.91016","89060.96094","164662.96875","3307.35352","4649.00195","10182.38184","6125.92236","87617.26562","6445.20508","4359.23193","708"
