"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"92(1,D12)","Unknown34","69457.85156","5758.35645","33845.87891","10097.42578","3158.67725","32548.64453","190833.85938","169381.40625","2864.9812","4981.37354","10920.3291","10974.31641","265325.84375","5711.66895","5634.85205","1029"
"93(1,E12)","Unknown35","41587.98047","4815.63574","44197.01953","11888.55371","3213.88965","63552.27734","74265.23438","217451.03125","2863.45386","5945.10205","11387.96875","13109.74023","273495.8125","7694.43506","3719.61523","1133"
"94(1,F12)","Unknown36","44009.48438","8184.77832","38411.04688","21853.66016","2937.89868","24288.82617","27513.68555","190223.09375","2973.43872","12282.36719","12597.53418","19404.39453","412864.71875","9176.69824","3694.41333","1090"
"95(1,G12)","Unknown37","170059.51562","3588.40503","26711.75977","20184.19922","3352.68604","12896.02441","582915.5625","148444.01562","2927.12231","5089.21875","12324.07715","8507.62695","341521.78125","7022.34668","6107.21875","1170"
"96(1,H12)","Unknown38","37027.01562","7363.3291","44842.78906","18958.05273","3017.74976","31498.06445","37451.78516","118651.17969","3054.3728","7153.15674","11714.91895","11854.78613","381585.0625","10131.74609","5337.7124","1015"


"DataType:","Net MFI"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","336684.34375","626695.125","625993.8125","971029","836066.375","3214549","1234626.125","534781.625","998182.75","335301.8125","541991.1875","618820.5625","1342722.5","589998.625","1034157.125","1168"
"2(1,B1)","Standard2","248112.70312","300631.1875","261518.54688","766874.5625","369396.78125","2980776.75","869976.875","490785.6875","533798.5625","289328.625","341344.1875","443472.46875","824796.125","248985.95312","719128.1875","1061"
"3(1,C1)","Standard3","158300.51562","243547.76562","76328.14062","282808.9375","122587.1875","1509972.375","545521.125","226800.90625","161491","201526.03125","121019.36719","294891.3125","476292.25","92296.14062","240616.39062","1075"
"4(1,D1)","Standard4","47568.41016","68874.04688","23017.8418","52343.75781","39792.8125","353149.875","206599.8125","89157.98438","29350.05078","72773.96094","21888.66016","47905.83594","129042.26562","30004.39648","77637.35156","1158"
"5(1,E1)","Standard5","9364.86523","9731.94824","5616.00098","9330.32617","13269.7168","34385.12109","52982.52344","22801.98047","5420.45557","21885.35938","4637.7666","4453.5459","59784.51562","6271","13611.49805","1018"
"6(1,F1)","Standard6","1270.42822","2148.6626","2114.70728","2375.54297","4065.5415","3299.56958","8052.1792","7255.97559","1006.35767","6237.43701","1048.22656","1293.80127","23587.00977","2906.25","1971.22998","1002"
"7(1,G1)","Standard7","204.1543","222.68481","1054.73755","631.16113","1484.07129","447.15674","1008.05566","2176.20654","75.60522","1935.32324","142.04102","55.10889","7178.72266","619.75342","432.0105","1264"
"8(1,H1)","Background0","60.14111","-108.54956","-212.71729","62.80029","-24.72754","-7.3479","108.81055","-132.51953","-22.39038","-66.49927","42.9873","-242.09473","-103.66406","68.7041","-19.9209","1152"
"9(1,A2)","Standard1","349793.8125","886847.625","605279.9375","914892.5","875616.5625","2607342.5","1117109.25","562606.25","957787.75","365897.53125","550161.3125","490649.25","1356047.25","728753.5625","1039330","1126"
"10(1,B2)","Standard2","270914.59375","480785.5625","244992.73438","652112.9375","359948.46875","2399827.5","899651.1875","532156.875","560799.25","334439.375","375972.90625","599374.1875","920432","267854.96875","609367.5","1103"
"11(1,C2)","Standard3","161367.53125","175031.75","85913.07031","337219.5625","154542.79688","1720813.625","551382","273873.4375","206044.45312","224516.32812","141760.375","262393.03125","483044.40625","89016.5625","349163.59375","1070"
"12(1,D2)","Standard4","58034.57422","81550.26562","23740.08789","58300.375","43587.92578","445529.96875","231309.54688","59189.40234","35664.78125","83569.10938","28195.30859","49668.55078","180241.6875","30170.88867","97796.71094","1061"
"13(1,E2)","Standard5","9873.65625","12605.44727","6974.88965","9563.5","14616.54785","32643.23438","51069.72656","26900.90234","4686.48145","22267.98047","5478.02832","6037.99023","61030.36719","9874.14258","14025.85938","1257"
"14(1,F2)","Standard6","1377.67334","2366.93359","2137.2229","2207.58545","4290.31738","4422.93945","8376.17969","7645.20605","1057.2854","6113.83057","1442.71875","987.62695","21765.54883","2684.39795","2262.30127","1034"
"15(1,G2)","Standard7","413.98389","-101.80933","410.48169","494.63916","1524.61328","718.42847","1094.74365","1926.43506","83.07471","1996.59375","232.71777","380.38184","7451.55859","377.7876","283.32275","962"
"16(1,H2)","Background0","-60.14136","108.54932","212.71729","-62.80029","24.72778","7.3479","-108.8103","132.51953","22.39014","66.49902","-42.98633","242.09424","103.66406","-68.7041","19.92065","1216"
"17(1,A3)","Control1","36641.96875","55255.37891","22130.49023","68382","39485.33594","337241.03125","202969.71875","80534.34375","30611.88086","55209.38281","19369.31055","49834.16406","72744.21875","19257.87695","101184.14844","957"
"18(1,B3)","Control2","145241.35938","219915.15625","80503.42969","314092.46875","119162.28125","1578607.875","548902.5","206129.9375","159200.26562","221772.1875","117942.97656","255186.79688","220267.78125","75059.65625","291027.34375","1143"
"19(1,C3)","Unknown1","40829.99219","328.05688","60826.36719","6110.23291","970.71948","25544.31641","46411.05859","220475.1875","392.22241","1635.08154","1587.20312","4523.80957","330969.78125","1632.04053","612.34131","1335"
"20(1,D3)","Unknown2","46059.85547","448.86841","67716.46875","19790.08398","627.51245","47741.13672","49112.45312","289426.5","414.42334","2885.28906","4798.0625","9332.15625","400798.8125","4773.12988","776.81104","1179"
"21(1,E3)","Unknown3","43609.39062","393.10156","12881.76172","5204.21826","948.77563","216.7417","51505.49609","151552.45312","334.67578","1244.67822","1574.37988","890.12451","231306.96875","2309.46924","1065.61646","1181"
"22(1,F3)","Unknown4","57564.38672","497.4519","84300.64844","12604.07031","1301.47461","13500.44434","49261.25781","241024.82812","375.09644","2499.12402","2300.59277","7957.64258","298090.90625","3078.89697","1351.11914","1080"
"23(1,G3)","Unknown5","55158.79688","1302.76807","36353.87109","13265.32422","509.04565","26235.01953","86884.07812","133186.35938","121.9585","2116.27588","2526.55469","9375.27148","401044.09375","3313.02881","777.65454","991"
"24(1,H3)","Unknown6","58188.94531","1704.78662","78662.55469","9538.67578","2231.09766","36785.05078","119376.23438","282882.125","328.82178","1723.49951","2366.83789","12603.07715","450870.3125","2679.65918","1531.53564","966"
"25(1,A4)","Control1","44047.25391","38109.58594","22907.65039","80317.17188","41270.75391","477017.53125","229887.17188","93077.5625","28193.97266","113279.74219","27128.64453","55935.39844","101854.70312","29110.63477","84747.1875","1181"
"26(1,B4)","Control2","135305.78125","145889.65625","80808.4375","363104.40625","129533.1875","1259344.125","557390.875","186904.04688","174499.51562","214304.5625","127740.63281","310236.75","292902.15625","91865.75","303645.25","1035"
"27(1,C4)","Unknown1","26336.30859","419.34814","48521.41016","4799.86279","895.58203","18663.99219","43701.8125","240276.96875","81.20898","1436.12354","1242.83887","2768.71289","192533.10938","1684.79785","405.37061","1203"
"28(1,D4)","Unknown2","23141.91211","299.11548","30204.32812","5784.22314","491.74805","15418.06543","30804.15039","216236.65625","313.08252","1544.92676","1344.65137","3611.63379","286902.59375","2451.85254","495.23926","1007"
"29(1,E4)","Unknown3","65773.5","1306.4707","15308.38281","6260.40674","910.89258","179.58032","79393.71875","167720.39062","304.94824","1240.54688","1695.52051","674.73389","391034.875","4494.2959","1322.36353","1314"
"30(1,F4)","Unknown4","65330.71484","1285.65674","77018.94531","15744.4375","1552.50391","15657.20215","56844.30078","243819.92188","491.69775","2467.33789","2852.98633","11491.14355","482435.3125","4852.88477","1013.28052","1180"
"31(1,G4)","Unknown5","25523.43164","1043.67627","17232.79492","4132.14795","653.20166","5207.36328","48144.60547","147717.6875","-93.99683","1377.76953","1188.86621","3848.75293","164253.10938","1182.36768","561.99219","996"
"32(1,H4)","Unknown6","48973.14062","1580.07275","57011.53516","7283.01514","2262.59814","24088.54102","86209.98438","334461.96875","383.43066","1650.77783","1568.5332","8345.05078","425927.78125","3978.24219","1184.07593","1068"
"33(1,A5)","Unknown7","20108.67578","-44.92725","13207.68555","1542.61475","660.05615","3194.44019","24918.66016","133639.59375","144.09521","854.53223","-37.48926","1848.53174","318746.40625","4677.2002","580.16211","973"
"34(1,B5)","Unknown8","17753.68164","737.62354","38449.97266","7628.57373","1373.50977","14491.22949","20135.25","174669.5","48.16504","1249.03809","719.86621","3475.15332","301052.0625","1382.17627","1012.65845","1155"
"35(1,C5)","Unknown9","53327.66797","2110.45801","45048.11719","5706.9624","829.63696","21747.51953","83507.17188","247942.875","135.58203","1746.63623","783.93848","9008.59082","553323.0625","3820.27637","1189.823","1107"
"36(1,D5)","Unknown10","63486.55078","3107.19824","129031.5","14644.01172","802.96875","78062.13281","184431.98438","215328.53125","219.03223","6106.31885","3239.82227","21906.44922","327034.5625","2265.71777","2758.91309","1116"
"37(1,E5)","Unknown11","13707.27734","986.86597","29978.14062","5246.52588","918.21191","26559.84961","37672.01172","148222.0625","-2.46265","890.93604","1595.30859","4595.24414","138379.92188","542.80762","742.84497","1022"
"38(1,F5)","Unknown12","61463.83984","2946.73828","27845.6582","7127.4585","892.30835","12737.71289","70157.39844","78539.61719","489.56055","4135.875","1409.4248","10404.13379","300668.03125","923.70508","2501.53662","1013"
"39(1,G5)","Unknown13","29824.55078","4391.38574","67089.64844","13803.79297","1389.3064","118923.85938","177237.40625","241118.03125","225.86548","2800.07324","2518.87793","15763.37988","461788.6875","3811.59863","2187.25684","1297"
"40(1,H5)","Unknown14","18672.08984","1058.32227","57622.08594","7537.07568","1764.04199","15367.21582","70943.53906","266109.5625","41.81079","1964.50732","763.89551","13569.0752","401358.78125","3565.08008","1246.60474","1196"
"41(1,A6)","Unknown7","23745.43945","-123.06665","14452.66797","1669.28027","470.90527","3406.47144","30429.1582","188335.45312","-20.04614","763.36279","64.8877","1792.64355","305097.5625","5102.68457","532.39355","1303"
"42(1,B6)","Unknown8","15811.04297","411.32837","28971.95312","6798.1333","1358.04199","10545.75977","21810.40625","104274.75","214.12891","1240.87549","389.2168","3792.42871","364389.84375","2022.02246","463.85376","1152"
"43(1,C6)","Unknown9","65368.80859","2113.48145","38727.64062","5771.24268","706.85254","23125.42188","97799.26562","206852.14062","-56.7854","1686.57373","564.58789","7701.48047","630077.25","4755.0957","1411.31787","1139"
"44(1,D6)","Unknown10","76809.33594","4166.31738","134295.53125","16885.22852","895.27466","86492.48438","253797.125","257075.85938","187.85376","6411.24951","3854.95801","16873.01172","336433.21875","3875.34277","2594.02881","1205"
"45(1,E6)","Unknown11","19316.05859","1582.50293","31523.66016","6893.78467","1081.13794","24814.76562","51914.41406","182416.10938","123.02344","1599.79297","2014.89648","6641.61816","277919.71875","1906.93604","877.46582","996"
"46(1,F6)","Unknown12","57195.58984","2245.1001","30251.14062","10105.75781","831.35229","16148.98145","95573.14844","83500.92188","136.16113","5088.0415","1353.45703","10065.85938","383157.875","1410.61035","1613.93506","1117"
"47(1,G6)","Unknown13","26832.39258","3806.96436","39311","6988.37744","1030.96069","62829.10156","141670.64062","190655.28125","215.44409","1891.70752","1171.56152","9086.11621","291976.90625","3309.93408","1067.74634","1181"
"48(1,H6)","Unknown14","21405.57812","841.03735","61118.28125","7099.09619","2155.60303","18502.99609","64353.71875","376734.90625","306.13477","1825.36914","1538.12695","11538.26855","589452.125","4613.47754","1139.78857","952"
"49(1,A7)","Unknown15","41817.0625","1588.82129","12088.08887","10314.42188","35.3208","1897.56567","86677.46094","160637.60938","527.47217","1166.06689","639.2959","1229.27881","72758.28125","1914.94141","1586.83789","708"
"50(1,B7)","Unknown16","41677.31641","443.17871","68438.97656","11585.37109","782.03296","12489.91406","76322.98438","246072.67188","34.9917","2949.26123","3264.33203","9014.15234","377588.40625","2245.89697","1166.52124","1006"
"51(1,C7)","Unknown17","43529.75","891.98633","45899.23047","10424.16992","996.25122","29021.5293","45662.78906","239681.85938","297.47168","3896.03906","2296.33301","14046.61816","404807.1875","6347.53809","1011.10034","1127"
"52(1,D7)","Unknown18","41200.63672","2125.35352","84271.15625","14836.73047","3643.30176","63951.23438","43724.46875","251089.625","466.75195","2299.62256","4707.57812","12013.08887","315310.96875","5789.61328","1496.84766","1051"
"53(1,E7)","Unknown19","22766.08203","3260.73926","49810.75781","6304.22314","818.07178","39960.42188","20962.13867","194835.60938","15.09229","2966.37305","1453.51172","10786.35352","388868.4375","-262.80176","849.94702","1101"
"54(1,F7)","Unknown20","22724.92578","4714.24316","79838.80469","11227.84766","869.0354","35356.66797","21599.57617","204810.3125","171.84277","3081.48047","3663.87012","8315.15918","413848.625","-266.05371","1555.84521","1075"
"55(1,G7)","Unknown21","139553.82812","775.54224","20751.11523","7630.73193","553.06152","8260.19238","273844.1875","263525.1875","280.4458","1593.31738","1434.58398","2726.69824","354636.71875","2384.70654","1882.05469","1236"
"56(1,H7)","Unknown22","196735.89062","641.68628","43454.42578","22119.91016","472.83496","16065.78027","515711.3125","269473.65625","293.55469","2992.84814","3484.13281","7961.78125","428940.5625","1226.71973","6504.03857","1031"
"57(1,A8)","Unknown15","33765.03906","116.98364","10138.74512","3477.46338","457.69604","1736.82642","96679.39062","153891.84375","410.08447","1078.77197","1905.79297","2128.27344","107755.29688","1604.38574","1173.95508","1091"
"58(1,B8)","Unknown16","44688.73828","158.04028","69878.30469","14118.31641","1329.45825","10835.13672","68308.92969","348101.78125","322.06714","2791.61035","4261.09473","8668.03711","422539.875","3800.93457","1074.20068","1057"
"59(1,C8)","Unknown17","34416.48438","808.51489","39243.47266","9800.19922","1258.88843","19836.15234","41084.35156","236495.3125","669.69116","4493.12744","2816.14648","13634.44824","352203","3981.45898","1715.44043","1069"
"60(1,D8)","Unknown18","55849.5625","3133.25195","94143.51562","19987.01953","3594.53271","59804.04297","53390.01562","354040.34375","376.75464","3833.10303","5935.89941","11316.37402","516163.46875","6603.77148","1912.36816","1120"
"61(1,E8)","Unknown19","19182.92578","2865.21777","41316.22266","6468.87842","1148.24121","32137.20703","15517.83398","122121.84375","351.28003","3353.12402","1314.23047","10304.81543","172087.6875","-261.54395","1052.04272","1063"
"62(1,F8)","Unknown20","20373.54297","3549.95215","89033.02344","9067.60938","564.21191","46827.73438","23883.5","265829.4375","65.74121","2702.69238","2944.0625","6220.16504","308031.40625","-222.86719","1169.18726","1101"
"63(1,G8)","Unknown21","162141.03125","209.1897","24212.98828","7982.77393","488.04541","8337.86719","329085.53125","251236.4375","-145.78223","2023.44824","2412.14062","3838.69629","321317.4375","3348.45312","1662.71143","1084"
"64(1,H8)","Unknown22","197739.70312","-73.18237","56545.85938","35885.40625","779.76001","16318.26855","554991","222099.10938","122.72339","2298.05762","2580.9209","8723.52441","423988.0625","2206.24854","7651.04639","1092"
"65(1,A9)","Unknown23","60950.26172","764.18457","72241.29688","16932.72461","168.31201","52542.30859","125782.35156","209768.57812","69.01514","3853.86035","4374.0498","8356.59375","282908.875","1271.80762","2402.72607","1208"
"66(1,B9)","Unknown24","22012.95117","6764.21289","24839.4043","14149.92969","254.0708","29809.0625","32124.49023","181360.51562","38.4082","3261.21826","3872.61328","8816.50977","393948.34375","1434.00439","1184.43335","1090"
"67(1,C9)","Unknown25","23193.17578","1548.5083","61104.89453","4029.42041","1380.66455","25617.30273","31923.38477","291743.53125","178.11841","2181.27051","1528.24902","7952.38867","285447.34375","3981.45898","1870.83301","1018"
"68(1,D9)","Unknown26","98851.57031","3686.92432","64238.83594","6011.03564","910.8855","78303.82031","215205.90625","373347.46875","393.94507","2456.92334","3236.63477","13841.02051","487644.125","4206.82715","7468.92822","974"
"69(1,E9)","Unknown27","18702.68164","1265.97168","28608.25977","5451.9165","659.99194","16696.9707","19114.75781","133103","158.42627","2029.73779","-144.48438","5974.98242","284528.1875","2362.03369","1978.92139","1111"
"70(1,F9)","Unknown28","41064.48828","9168.91211","40172.80469","5782.57959","574.71924","18890.36719","62410.92969","160427.01562","304.99121","1685.45898","994.51172","3903.44043","223828.98438","2590.10449","1510.28564","971"
"71(1,G9)","Unknown29","14818.19727","2791.90381","58106.21484","13133.2207","895.93945","53093.58594","46573.96094","203039.42188","63.46826","1780.88867","1567.08887","5556.95312","365910.34375","2258.79199","2812.97168","1215"
"72(1,H9)","Unknown30","14254.01758","1703.37891","64069.10938","5316.60303","1404.35229","20373.69336","71257.23438","247958.98438","208.46777","1782.47559","1553.98047","12941.55957","459760.65625","3853.57812","1967.99951","1002"
"73(1,A10)","Unknown23","58923.74219","1324.24023","70191.875","20935.58398","642.17993","66724.85938","146690.71875","174084.07812","696.55957","4334.09668","7732.47461","14863.57715","261748.95312","1729.35742","2163.46191","1034"
"74(1,B10)","Unknown24","23763.83789","4953.32861","29657.59375","13542.78516","206.69531","52472.35547","35723.80078","118911.14062","-179.70557","3797.72168","3117.56738","8591.37695","395298.375","2170.31689","1702.41748","977"
"75(1,C10)","Unknown25","32358.42188","1900.73535","108742.42188","10432.28125","1465.83032","45141.13281","56915.26172","316021.5625","1428.104","3639.42041","3269.2207","19281.32031","392608.34375","7196.99219","2614.84277","1145"
"76(1,D10)","Unknown26","123271.48438","2687.80371","82005.04688","8464.24609","975.22241","89978.22656","233104.60938","368356.1875","360.64355","2777.48633","2600.64844","14491.20801","435765.375","4172.34668","13358.45312","1030"
"77(1,E10)","Unknown27","21362.33398","1257.51562","49745.67188","8488.43555","669.14111","31382.8125","23487.72852","188852.48438","-136.23999","1985.54346","1460.77344","5689.50098","289194.3125","1863.81348","1785.28857","1120"
"78(1,F10)","Unknown28","37864.66797","5617.29785","46678.63672","8108.93213","479.29663","23218.88672","74752.48438","126770.70312","163.6228","2124.68164","1639.4248","5673.30469","265613","1675.75635","1460.67334","1174"
"79(1,G10)","Unknown29","15572.55078","2360.94385","80406.28125","21249.02734","912.77954","64615.25781","42333.92188","176074.45312","450.5625","2208.71777","2058.38379","9917.8291","354455.21875","3297.76807","3234.68213","1073"
"80(1,H10)","Unknown30","13119.92578","1535.84229","90281.13281","10733.91797","1530.02441","30163.29297","90436.02344","340814.5","130.67163","2863.98828","2668.14453","18953.23828","580799.125","5194.54785","2501.37939","1096"
"81(1,A11)","Unknown31","71651.17188","237.70923","27580.46289","10393.57617","-35.23462","15226.83301","132164.78125","222113.90625","79.67944","2140.25635","1178.93066","5701.02344","248202.70312","5480.75781","1298.43311","1338"
"82(1,B11)","Unknown32","26178.77148","705.74438","22338.71875","62057.78906","660.80664","13064.69434","24441.72461","249445.15625","373.39526","7667.93994","3255.59082","8848.06738","421043.84375","9942.28125","792.68628","1023"
"83(1,C11)","Unknown33","44309.75391","2189.61914","103414.92969","11804.37891","1094.66162","27558.51953","85608.96875","244943.42188","137.59058","2444.85107","4522.03711","15542.01465","514061.15625","5284.19531","3894.54932","1149"
"84(1,D11)","Unknown34","107499.75781","4198.92529","79830.92969","18400.08008","1295.77075","65247.41406","350944.59375","224196.32812","767.13647","3907.96143","3561.94336","14537.02441","359946.625","2567.46045","8613.54297","1201"
"85(1,E11)","Unknown35","42777.70703","1425.65234","51253.47266","8575.98047","356.83398","84758.82031","77244.58594","143945.23438","3.34155","2482.15527","1978.35742","5047.86035","256347.48438","1695.22656","1286.43921","1029"
"86(1,F11)","Unknown36","46922.20312","4359.44971","46072.00781","31513.25","693.68652","27695.92773","35062.19141","247398.0625","-22.40479","11223.97852","4215.67676","19841.67578","481480.5","4930.6377","451.4165","1184"
"87(1,G11)","Unknown37","279326.875","86.8916","33823.70703","27646.9375","664.9812","14168.34473","630660.8125","165569.39062","159.94873","2229.15332","4585.58789","4620.58984","531745.4375","3626.9873","4773.83789","1155"
"88(1,H11)","Unknown38","30736.69922","4293.97656","36761.52344","19526.78906","349.03589","10252.3584","38110.92578","40602.75781","111.32983","4149.05566","2744.76855","6777.43262","270742.21875","6920.81738","2471.90918","406"
"89(1,A12)","Unknown31","60763.73828","664.32324","16672.97656","4272.71533","733.07788","8899.20898","82647.66406","183968.35938","22.14722","659.07666","-598.30859","3677.99316","209335.78125","4268.89844","680.64526","1032"
"90(1,B12)","Unknown32","17261.38672","237.86646","15250.25781","18830.29688","638.60596","4562.63574","15997.46289","161162.85938","61.52417","4391.55029","577.37598","5832.90625","525061.3125","6733.0166","729.90771","1332"
"91(1,C12)","Unknown33","44175.93359","2397.7832","45149.09766","3130.354","770.11035","19535.27539","67013.10156","261731.14062","-77.10669","1083.32471","1861.66309","13218.94824","440763.09375","5160.93945","1140.7749","893"
"92(1,D12)","Unknown34","68326.78906","2619.62109","33464.74609","5193.17529","406.81836","25528.57031","220607.875","134619.73438","-22.96216","1403.95898","670.23145","6285.23047","205850.35938","1337.77441","2549.09082","1029"
"93(1,E12)","Unknown35","34766.58203","1737.03027","45435.30859","6915.84229","477.55249","57675.39844","80908.03906","204455.04688","-243.23462","2415.63818","1761.09473","9401.93262","240755.9375","3823.5791","782.65796","1133"
"94(1,F12)","Unknown36","47147.77344","5358.36328","38821.09766","15702.92383","102.2666","22615.4082","27569.01172","153686.82812","-155.46045","9682.62891","2860.61914","13126.62988","314456.4375","5963.94629","774.29517","1090"
"95(1,G12)","Unknown37","177480.39062","261.58276","24470.65234","17329.21094","239.66821","9449.48633","605834.875","129820.95312","-69.65137","1243.10547","1962.5752","3713.05957","391128.09375","2604.77197","2647.13672","1170"
"96(1,H12)","Unknown38","36657.01562","3392.67969","45035.83203","13071.54883","105.22583","12035.10254","38819.26953","140918.82812","-35.09937","3620.62158","1841.57715","6001.38672","325672.1875","4888.29492","1788.61914","1015"


"DataType:","Avg Net MFI"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","343239.09375","756771.375","615636.875","942960.75","855841.4375","2910945.75","1175867.75","548693.9375","977985.25","350599.6875","546076.25","554734.9375","1349384.875","659376.125","1036743.5625","1168"
"2(1,B1)","Standard2","259513.65625","390708.375","253255.64062","709493.75","364672.625","2690302.25","884814","511471.28125","547298.875","311884","358658.53125","521423.34375","872614.0625","258420.45312","664247.875","1061"
"3(1,C1)","Standard3","159834.03125","209289.75","81120.60938","310014.25","138564.98438","1615393","548451.5625","250337.17188","183767.71875","213021.1875","131389.875","278642.15625","479668.34375","90656.35156","294889.96875","1075"
"4(1,D1)","Standard4","52801.49219","75212.15625","23378.96484","55322.06641","41690.36719","399339.90625","218954.6875","74173.69531","32507.41602","78171.53125","25041.98438","48787.19141","154641.98438","30087.64258","87717.03125","1158"
"5(1,E1)","Standard5","9619.25977","11168.69727","6295.44531","9446.91406","13943.13184","33514.17969","52026.125","24851.44141","5053.46826","22076.66992","5057.89746","5245.76855","60407.4375","8072.57129","13818.67773","1018"
"6(1,F1)","Standard6","1324.05078","2257.79785","2125.96509","2291.56396","4177.92969","3861.25464","8214.17969","7450.59082","1031.82153","6175.6333","1245.47266","1140.71387","22676.2793","2795.32422","2116.76562","1002"
"7(1,G1)","Standard7","309.06909","60.43774","732.60962","562.8999","1504.34229","582.79272","1051.39966","2051.3208","79.33984","1965.9585","187.37891","217.74512","7315.14062","498.77051","357.6665","1264"
"8(1,H1)","Background0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1152"
"9(1,A2)","Standard1","343239.09375","756771.375","615636.875","942960.75","855841.4375","2910945.75","1175867.75","548693.9375","977985.25","350599.6875","546076.25","554734.9375","1349384.875","659376.125","1036743.5625","1126"
"10(1,B2)","Standard2","259513.65625","390708.375","253255.64062","709493.75","364672.625","2690302.25","884814","511471.28125","547298.875","311884","358658.53125","521423.34375","872614.0625","258420.45312","664247.875","1103"
"11(1,C2)","Standard3","159834.03125","209289.75","81120.60938","310014.25","138564.98438","1615393","548451.5625","250337.17188","183767.71875","213021.1875","131389.875","278642.15625","479668.34375","90656.35156","294889.96875","1070"
"12(1,D2)","Standard4","52801.49219","75212.15625","23378.96484","55322.06641","41690.36719","399339.90625","218954.6875","74173.69531","32507.41602","78171.53125","25041.98438","48787.19141","154641.98438","30087.64258","87717.03125","1061"
"13(1,E2)","Standard5","9619.25977","11168.69727","6295.44531","9446.91406","13943.13184","33514.17969","52026.125","24851.44141","5053.46826","22076.66992","5057.89746","5245.76855","60407.4375","8072.57129","13818.67773","1257"
"14(1,F2)","Standard6","1324.05078","2257.79785","2125.96509","2291.56396","4177.92969","3861.25464","8214.17969","7450.59082","1031.82153","6175.6333","1245.47266","1140.71387","22676.2793","2795.32422","2116.76562","1034"
"15(1,G2)","Standard7","309.06909","60.43774","732.60962","562.8999","1504.34229","582.79272","1051.39966","2051.3208","79.33984","1965.9585","187.37891","217.74512","7315.14062","498.77051","357.6665","962"
"16(1,H2)","Background0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1216"
"17(1,A3)","Control1","40344.61328","46682.48047","22519.07031","74349.58594","40378.04688","407129.28125","216428.4375","86805.95312","29402.92773","84244.5625","23248.97656","52884.78125","87299.46094","24184.25586","92965.67188","957"
"18(1,B3)","Control2","140273.5625","182902.40625","80655.9375","338598.4375","124347.73438","1418976","553146.6875","196516.98438","166849.89062","218038.375","122841.80469","282711.78125","256584.95312","83462.70312","297336.28125","1143"
"19(1,C3)","Unknown1","33583.15234","373.70264","54673.89062","5455.04736","933.15088","22104.1543","45056.4375","230376.07812","236.71582","1535.60254","1415.02148","3646.26074","261751.45312","1658.41895","508.85596","1335"
"20(1,D3)","Unknown2","34600.88281","373.99194","48960.39844","12787.15234","559.63037","31579.60156","39958.30078","252831.57812","363.75293","2215.10791","3071.35742","6471.89551","343850.71875","3612.49121","636.02515","1179"
