MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL
,C57BL/6J,50,,,,,F,CHOW,231.41,211.1,22,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,227.1,209.47,22.2,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,274.51,262.64,20.7,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,287.79,276.2,23.6,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,273.76,260.97,22.2,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,212.32,197.64,19.3,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,238.22,220.27,22.4,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,206.99,191.87,21.2,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,241.1,227.27,22,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,230.99,220.1,21.5,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,212.58,202.04,23,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,318.78,300.97,51.4,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,289.7,276.83,50.1,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,264.3,245.37,50.3,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,310.1,299.61,50.9,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,260.13,244.11,57.2,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,291.8,269.24,60.8,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,279.72,262.09,44.4,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,244.07,224.96,53.1,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,69,,,,,F,CHOW,263.86,245.75,50.6,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,70,,,,,F,CHOW,252.7,233.82,47.3,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,71,,,,,F,CHOW,194.97,174.97,58.2,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,49,,,,,F,CHOW,255.1,242.18,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,50,,,,,F,CHOW,211.1,195.4,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,209.47,199.89,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,262.64,248.95,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,276.2,263.14,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,260.97,249.9,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,197.64,172.21,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,220.27,208,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,191.87,180.38,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,227.27,216.12,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,220.1,210.7,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,202.04,188.49,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,300.97,284.98,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,276.83,263.09,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,245.37,227.69,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,299.61,287.31,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,244.11,228.21,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,269.24,251.62,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,262.09,245.4,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,224.96,210.59,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,69,,,,,F,CHOW,245.75,229.76,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,70,,,,,F,CHOW,233.82,214.82,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
