MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC,,,,,
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,15.89,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.1,NO,D12451i,,,,,,2409-42370A,,,,,
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.83,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.93,NO,D12451i,,,,,,2409-42370A,,,,,
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,16.59,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.95,NO,D12451i,,,,,,2409-42370A,,,,,
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,17.62,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",19.41,NO,D12451i,,,,,,2409-42370A,,,,,
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,11.63,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",13.74,NO,D12451i,,,,,,2409-42370A,,,,,
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,14.06,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",15.55,NO,D12451i,,,,,,2409-42370A,,,,,
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,14.97,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.38,NO,D12451i,,,,,,2409-42370A,,,,,
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,13.93,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",14.32,NO,D12451i,,,,,,2409-42370A,,,,,
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,20.81,2.32,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",22.57,NO,D12451i,,,,,,2409-42370A,,,,,
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,15.13,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.42,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,21.65,1.68,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",21.91,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,15.43,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",16.61,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,15.78,0,,2/11/26,"Mice did not get fed on 2/9, staff misread calendar",17.11,NO,D12450Hi,,,,,,2409-42370A,,,,,
