MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,31.28,23.16,38.65,1/1/25,,,NO,D12450Ki,24080209i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,37.12,30.11,42.14,1/1/25,,,NO,D12450Ki,24080209i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,26.1,15.93,40.21,1/3/25,,28.91,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,27.37,18.13,39.53,1/3/25,,27.02,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,23.16,15.19,39.5,1/3/25,,25.02,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,30.11,21.85,42.21,1/3/25,,25.58,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,28.91,16.7,40.39,1/6/25,,31.75,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,27.02,15.75,39.77,1/6/25,,32.65,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,25.02,12.92,39.85,1/6/25,,32.02,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,25.58,13.5,43.214,1/6/25,,32.43,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,31.75,23.52,41.4,1/8/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,32.65,25.54,39.48,1/8/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,32.02,24.82,41.38,1/8/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,32.43,24.43,44.08,1/8/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,23.52,14.29,41.65,1/10/25,,21.63,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,25.54,17.53,39.79,1/10/25,,22.37,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,24.82,16.35,41.47,1/10/25,,21.2,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,24.43,15.3,44.46,1/10/25,,21.09,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,21.63,10.19,41.82,1/13/25,,33.45,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,22.37,9.5,40.95,1/13/25,,34.45,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,21.2,9.55,42.16,1/13/25,,35.93,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,21.09,7.38,45.74,1/13/25,,34.26,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,33.45,26.64,42.8,1/15/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,LFD,34.45,27.34,41.86,1/15/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,LFD,35.93,28.99,43.05,1/15/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,LFD,34.26,26.91,47.3,1/15/25,,,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,3A,M5,370-F,10/4/24,F,LFD,26.64,17.22,42.74,1/17/25,,23.68,NO,D12450Ki,24102316i,JACKSON_LABORATORIES,2105,,,2303-40942A
