MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002443997,C57BL/6J,3997,6A,L1,370-F,2/6/24,F,HFD,8.5,0.5,18.76,14.2,NA,4/5/24,,21.91,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443998,C57BL/6J,3998,6A,M1,370-F,2/6/24,F,HFD,8.5,0.5,21.46,17.77,NA,4/5/24,,22.71,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443999,C57BL/6J,3999,6A,H2,370-F,2/6/24,F,HFD,8.5,0.5,21.45,17.6,NA,4/5/24,,21.67,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444000,C57BL/6J,4000,6A,I2,370-F,2/6/24,F,HFD,8.5,0.5,21.41,17.17,NA,4/5/24,,21.69,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444001,C57BL/6J,4001,6A,J2,370-F,2/6/24,F,LFD,8.5,0.5,24.63,19.31,NA,4/5/24,,20.39,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444002,C57BL/6J,4002,6A,K2,370-F,2/6/24,F,LFD,8.5,0.5,23.23,16.25,NA,4/5/24,,19.63,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444003,C57BL/6J,4003,6A,L2,370-F,2/6/24,F,LFD,8.5,0.5,25.44,24.5,NA,4/5/24,,21.8,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444004,C57BL/6J,4004,6A,M2,370-F,2/6/24,F,LFD,8.5,0.5,26.8,24.3,NA,4/5/24,,21.51,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444005,C57BL/6J,4005,6A,N2,370-F,2/6/24,M,HFD,8.5,0.5,21.27,19.92,NA,4/5/24,,21.85,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444006,C57BL/6J,4006,6A,H3,370-F,2/6/24,M,HFD,8.5,0.5,24.3,19.86,NA,4/5/24,,21.77,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444007,C57BL/6J,4007,6A,I3,370-F,2/6/24,M,HFD,8.5,0.5,21.54,18.17,NA,4/5/24,,21.91,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444008,C57BL/6J,4008,6A,J3,370-F,2/6/24,M,HFD,8.5,0.5,18.06,14.55,NA,4/5/24,,21.99,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444009,C57BL/6J,4009,6A,K3,370-F,2/6/24,M,HFD,8.5,0.5,21.33,17.11,NA,4/5/24,,21.9,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444010,C57BL/6J,4010,6A,L3,370-F,2/6/24,M,HFD,8.5,0.5,20.37,15.93,NA,4/5/24,,22.18,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444011,C57BL/6J,4011,6A,M3,370-F,2/6/24,M,HFD,8.5,0.5,22.16,18.16,NA,4/5/24,,22.08,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444012,C57BL/6J,4012,6A,N3,370-F,2/6/24,M,HFD,8.5,0.5,23.45,19.64,NA,4/5/24,,21.77,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444013,C57BL/6J,4013,6A,H4,370-F,2/6/24,M,LFD,8.5,0.5,25,21.25,NA,4/5/24,,19.53,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444014,C57BL/6J,4014,6A,I4,370-F,2/6/24,M,LFD,8.5,0.5,25.16,24.27,NA,4/5/24,,20.13,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444015,C57BL/6J,4015,6A,J4,370-F,2/6/24,M,LFD,8.5,0.5,22.74,16.67,NA,4/5/24,,22.43,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444016,C57BL/6J,4016,6A,K4,370-F,2/6/24,M,LFD,8.5,0.5,25.74,24.54,NA,4/5/24,,22.27,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443993,C57BL/6J,3993,6A,H1,370-F,2/6/24,F,HFD,9,1,21.07,15.51,NA,4/8/24,,30.96,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443994,C57BL/6J,3994,6A,I1,370-F,2/6/24,F,HFD,9,1,20.47,11.99,NA,4/8/24,,29.51,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443995,C57BL/6J,3995,6A,J1,370-F,2/6/24,F,HFD,9,1,22.47,15.54,NA,4/8/24,,31.52,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443996,C57BL/6J,3996,6A,K1,370-F,2/6/24,F,HFD,9,1,20.7,13.54,NA,4/8/24,,30.72,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443997,C57BL/6J,3997,6A,L1,370-F,2/6/24,F,HFD,9,1,21.91,14.48,NA,4/8/24,,28.71,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443998,C57BL/6J,3998,6A,M1,370-F,2/6/24,F,HFD,9,1,22.71,16.72,NA,4/8/24,,28.15,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443999,C57BL/6J,3999,6A,H2,370-F,2/6/24,F,HFD,9,1,21.67,16.88,NA,4/8/24,,29.34,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444000,C57BL/6J,4000,6A,I2,370-F,2/6/24,F,HFD,9,1,21.69,14.21,NA,4/8/24,,28.91,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444001,C57BL/6J,4001,6A,J2,370-F,2/6/24,F,LFD,9,1,20.39,11.23,NA,4/8/24,,31.5,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
