MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002447860,7860,6A,H8,2,7/9/24,M,HFD,9,1,17.38,9.85,3.765,17.80845,25.28,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447861,7861,6A,I8,2,7/9/24,M,HFD,9,1,17.58,10.38,3.6,17.028,24.89,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447866,7866,6A,J8,2,7/9/24,M,HFD,9,1,17.97,13.09,2.44,11.5412,21.77,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447868,7868,6A,K7,2,7/9/24,M,LFD,9,1,12.82,5.23,3.795,14.4969,23.2,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447869,7869,6A,L9,2,7/9/24,M,LFD,9,1,12.51,4.72,3.895,14.8789,23.4,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447870,7870,6A,M9,2,7/9/24,M,LFD,9,1,15.57,7.92,3.825,14.6115,21.59,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447862,7862,6A,K8,2,7/9/24,M,HFD,9,1,17.26,10.42,3.42,16.1766,23.78,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447867,7867,6A,L8,2,7/9/24,M,HFD,9,1,14.48,8.83,2.825,13.36225,23.93,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447863,7863,6A,M8,2,7/9/24,M,HFD,9,1,17.82,8.63,4.595,21.73435,28.06,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447871,7871,6A,N9,2,7/9/24,M,LFD,9,1,18.19,9.2,4.495,17.1709,26.28,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447876,7876,6A,L4,2,7/9/24,F,HFD,9.3,1.3,12.19,7.78,2.205,10.42965,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,10.83,D12451i,24072303i,NA
B00002447872,7872,6A,M4,2,7/9/24,F,HFD,9.3,1.3,11.63,7.65,1.99,9.4127,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,10.18,D12451i,24072303i,NA
B00002447877,7877,6A,N8,2,7/9/24,F,HFD,9.3,1.3,9.19,4.67,2.26,10.6898,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,12.42,D12451i,24072303i,NA
B00002447878,7878,6A,H9,2,7/9/24,F,HFD,9.3,1.3,9.25,4.54,2.355,11.13915,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,10.36,D12451i,24072303i,NA
B00002447873,7873,6A,N4,2,7/9/24,F,HFD,9.3,1.3,12.05,7.63,2.21,10.4533,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.22,D12451i,24072303i,NA
B00002447874,7874,6A,H5,2,7/9/24,F,HFD,9.3,1.3,8.85,3.65,2.6,12.298,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.16,D12451i,24072303i,NA
B00002447875,7875,6A,G5,2,7/9/24,F,HFD,9.3,1.3,7.73,2.87,2.43,11.4939,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.08,D12451i,24072303i,NA
B00002447879,7879,6A,K5,2,7/9/24,F,HFD,9.3,1.3,10.13,5.31,2.41,11.3993,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.37,D12451i,24072303i,NA
B00002447864,7864,6A,I9,2,7/9/24,M,HFD,9.3,1.3,10.06,5.35,2.355,11.13915,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.36,D12451i,24072303i,NA
B00002447865,7865,6A,J9,2,7/9/24,M,HFD,9.3,1.3,7.4,0,3.7,17.501,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,18.6,D12451i,24072303i,NA
B00002447860,7860,6A,L5,2,7/9/24,M,HFD,9.3,1.3,9.85,3.87,2.99,14.1427,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.22,D12451i,24072303i,NA
B00002447861,7861,6A,M5,2,7/9/24,M,HFD,9.3,1.3,10.38,5.86,2.26,10.6898,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,10.56,D12451i,24072303i,NA
B00002447866,7866,6A,K7,2,7/9/24,M,HFD,9.3,1.3,13.09,7.46,2.815,13.31495,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.08,D12451i,24072303i,NA
B00002447862,7862,6A,L7,2,7/9/24,M,HFD,9.3,1.3,10.42,4.6,2.91,13.7643,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.61,D12451i,24072303i,NA
B00002447867,7867,6A,H8,2,7/9/24,M,HFD,9.3,1.3,8.83,4.37,2.23,10.5479,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,11.28,D12451i,24072303i,NA
B00002447863,7863,6A,I8,2,7/9/24,M,HFD,9.3,1.3,8.63,1.85,3.39,16.0347,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.53,D12451i,24072303i,NA
B00002447880,7880,6A,J8,2,7/9/24,F,LFD,9.3,1.3,6.52,0,3.26,12.4532,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,17.58,D12450Ki,24080209i,NA
B00002447881,7881,6A,K7,2,7/9/24,F,LFD,9.3,1.3,8.99,2.49,3.25,12.415,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.95,D12450Ki,24080209i,NA
B00002447882,7882,6A,L9,2,7/9/24,F,LFD,9.3,1.3,5.31,0,2.655,10.1421,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,18.34,D12450Ki,24080209i,NA
B00002447883,7883,6A,M9,2,7/9/24,F,LFD,9.3,1.3,6.65,0.73,2.96,11.3072,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,16.06,D12450Ki,24080209i,NA
B00002447868,7868,6A,K8,2,7/9/24,M,LFD,9.3,1.3,5.23,0,2.615,9.9893,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,17.51,D12450Ki,24080209i,NA
B00002447869,7869,6A,L8,2,7/9/24,M,LFD,9.3,1.3,4.72,0,2.36,9.0152,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,17.4,D12450Ki,24080209i,NA
B00002447870,7870,6A,M8,2,7/9/24,M,LFD,9.3,1.3,7.92,0.74,3.59,13.7138,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.69,D12450Ki,24080209i,NA
B00002447871,7871,6A,N9,2,7/9/24,M,LFD,9.3,1.3,9.2,0.74,4.23,16.1586,NA,9/13/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.7,D12450Ki,24080209i,NA
B00002447876,7876,6A,L4,2,7/9/24,F,HFD,9.5,1.5,10.83,3.56,2.423333333,11.46236667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.44,D12451i,24072303i,NA
B00002447872,7872,6A,M4,2,7/9/24,F,HFD,9.5,1.5,10.18,3.95,2.076666667,9.822633333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.42,D12451i,24072303i,NA
B00002447877,7877,6A,N8,2,7/9/24,F,HFD,9.5,1.5,12.42,5.18,2.413333333,11.41506667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.6,D12451i,24072303i,NA
B00002447878,7878,6A,H9,2,7/9/24,F,HFD,9.5,1.5,10.36,3.59,2.256666667,10.67403333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.33,D12451i,24072303i,NA
