z,y,x
258.18906,33.241405,337.25757
256.32306,33.136063,338.4145
259.1095,33.24751,338.52435
176.23453,33.520935,339.1068
296.45587,33.096375,339.57397
282.42422,33.163265,339.62164
277.24326,33.222855,340.20758
237.35765,33.011684,341.31683
276.97055,33.18998,341.90167
284.92108,33.071022,341.9342
263.62952,33.217083,342.2637
262.5669,33.184433,343.01636
272.60922,33.21932,342.97476
284.1975,33.030834,344.72592
282.86246,33.053806,344.85043
268.78857,33.182106,345.31802
-0.23359776,33.66901,374.73392
5.095811,33.534645,382.21274
51.563263,32.825153,418.62946
224.94058,39.547607,-27.03967
114.50104,39.854977,-26.912607
174.37114,39.63341,-23.60833
120.96418,39.57603,-10.897529
-7.8787327,39.80242,-2.6326275
-17.553207,39.788147,-0.09162426
229.97997,39.04944,2.6805139
-21.951355,39.74373,3.3920074
141.71051,39.116554,13.744838
-20.002317,39.54602,15.195825
16.423883,39.321033,22.743532
8.854947,39.261406,27.706568
12.20314,39.236637,28.65142
214.62706,38.630344,31.053812
142.65541,38.823784,31.558264
128.66852,38.77687,36.844913
199.02101,38.534718,39.610077
220.27635,38.449806,41.16679
233.92307,38.3277,46.31625
144.62874,38.552185,47.894733
-7.975917,38.954586,49.44066
71.85481,38.59678,57.676304
-20.885672,38.841152,58.626297
197.1929,38.182705,61.537807
234.40591,38.055096,62.971
-1.531043,38.685986,64.825676
201.94107,37.927208,77.33344
154.72725,37.82333,93.3246
183.24713,37.363087,116.36758
137.62598,37.247704,131.81549
295.50006,36.765545,134.58377
215.00873,36.585854,158.49263
119.16702,36.476074,177.73642
236.62433,36.169422,205.5469
132.60344,35.743797,214.41138
60.032787,35.72917,237.41457
54.823303,35.729496,238.5832
15.489874,35.7217,245.37325
292.69504,34.418217,245.08925
9.270563,35.626198,252.44281
-4.788947,35.624672,254.46504
-9.127178,35.633884,254.8907
295.1898,34.277264,259.2447
-0.3599167,35.517033,260.35883
26.563744,35.4084,262.012
34.001244,35.382393,263.1671
262.83575,34.332695,265.35507
-1.9027185,35.43242,265.94617
-0.9196186,35.415775,266.7859
30.241947,35.272472,270.54968
314.25427,33.78453,272.4739
287.60654,34.241802,277.5288
290.35422,34.17914,277.91174
264.76666,34.08012,282.01697
271.96973,34.024456,283.5231
278.91895,33.90231,288.4272
263.58032,33.999325,289.9675
179.54008,34.291473,290.22977
277.65735,33.935375,290.55283
265.3346,34.001694,291.34613
279.42627,33.92566,291.71292
178.5231,34.26777,292.37076
281.40036,33.90226,292.44376
287.1872,33.845676,293.88617
268.588,33.992355,295.5527
285.264,33.917015,295.82227
276.4586,34.012886,295.95984
