MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/15/2025 7:39:14,1.17.0,No-Uncertainty,8,3.56,2,1,Pellet,LeftANDRight,31,57,0,17,0,12.36,2883,nan
2/15/2025 7:41:03,1.17.0,No-Uncertainty,8,3.56,nan,1,Left,LeftANDRight,32,57,0,17,0,nan,nan,277
2/15/2025 7:41:10,1.17.0,No-Uncertainty,8,3.57,1,1,Pellet,LeftANDRight,32,57,0,18,0,5.18,116,nan
2/15/2025 7:42:13,1.17.0,No-Uncertainty,8,3.57,nan,1,Left,LeftANDRight,33,57,0,18,0,nan,nan,35
2/15/2025 7:45:42,1.17.0,No-Uncertainty,8,3.57,1,1,Pellet,LeftANDRight,33,57,0,19,0,Timed_out,272,nan
2/15/2025 7:49:38,1.17.0,No-Uncertainty,8,3.56,nan,1,Left,LeftANDRight,34,57,0,19,0,nan,nan,94
2/15/2025 7:49:43,1.17.0,No-Uncertainty,8,3.56,1,1,Pellet,LeftANDRight,34,57,0,20,0,2.84,241,nan
2/15/2025 7:50:08,1.17.0,No-Uncertainty,8,3.56,nan,1,Left,LeftANDRight,35,57,0,20,0,nan,nan,40
2/15/2025 7:50:09,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,36,57,0,20,0,nan,nan,nan
2/15/2025 7:50:21,1.17.0,No-Uncertainty,8,3.56,2,1,Pellet,LeftANDRight,36,57,0,21,0,10.71,38,nan
2/15/2025 7:57:13,1.17.0,No-Uncertainty,8,3.56,nan,1,Right,LeftANDRight,36,58,0,21,0,nan,nan,190
2/15/2025 8:01:44,1.17.0,No-Uncertainty,8,3.57,31,1,Pellet,LeftANDRight,36,58,0,22,0,Timed_out,683,nan
2/15/2025 8:10:57,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,36,59,0,22,0,nan,nan,57
2/15/2025 8:10:57,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,36,60,0,22,0,nan,nan,0
2/15/2025 8:10:57,1.17.0,No-Uncertainty,8,3.56,nan,1,RightinTimeout,LeftANDRight,36,60,0,22,0,nan,nan,280
2/15/2025 8:10:58,1.17.0,No-Uncertainty,8,3.56,nan,1,RightinTimeout,LeftANDRight,36,60,0,22,0,nan,nan,559
2/15/2025 8:10:58,1.17.0,No-Uncertainty,8,3.56,nan,1,RightinTimeout,LeftANDRight,36,60,0,22,0,nan,nan,841
