ID,BW,DATE
4003,19.1,2024-09-04
4003,19.3,2024-09-11
4003,19.6,2024-09-18
4003,18.8,2024-09-25
4003,19.06,2024-10-02
4003,19.13,2024-10-09
4003,19.28,2024-10-16
4004,17.3,2024-04-01
4004,16.48,2024-04-03
4004,16.19,2024-04-10
4004,16.61,2024-04-17
4004,18.23,2024-04-24
4004,18.21,2024-05-01
4004,18.46,2024-05-08
4004,19.41,2024-05-15
4004,19.39,2024-05-22
4004,18.43,2024-05-29
4004,19.1,2024-06-05
4004,19.23,2024-06-12
4004,19.69,2024-06-19
4004,19.79,2024-06-26
4004,20.4,2024-07-02
4004,20.16,2024-07-03
4004,20.58,2024-07-10
4004,20.18,2024-07-17
4004,19.67,2024-07-24
4004,20.4,2024-07-31
4004,20.9,2024-08-07
4004,20.4,2024-08-14
4004,20.3,2024-08-21
4004,20.3,2024-08-28
4004,20.5,2024-09-04
4004,21.4,2024-09-11
4004,21.1,2024-09-18
4004,21.5,2024-09-25
4004,21.01,2024-10-02
4004,20.99,2024-10-09
4004,21.14,2024-10-16
4005,23.4,2024-04-01
4005,23.31,2024-04-03
4005,23.93,2024-04-10
4005,24.89,2024-04-17
4005,25.44,2024-04-24
4005,25.82,2024-05-01
4005,27.06,2024-05-08
4005,25.9,2024-05-15
4005,26.24,2024-05-22
4005,27.45,2024-05-29
4005,28.92,2024-06-05
4005,28.08,2024-06-12
4005,29.35,2024-06-19
4005,29.47,2024-06-26
4005,29.6,2024-07-02
4005,28.89,2024-07-03
4005,28.95,2024-07-10
4005,29.32,2024-07-17
4005,29.91,2024-07-24
4005,29.45,2024-07-31
4005,31.3,2024-08-07
4005,32.2,2024-08-14
4005,32.1,2024-08-21
4005,32.3,2024-08-28
4005,33.3,2024-09-04
4005,32.7,2024-09-11
4005,33.4,2024-09-18
4005,33,2024-09-25
4005,33.53,2024-10-02
4005,35.15,2024-10-09
4005,34.84,2024-10-16
4006,21.1,2024-04-01
4006,21.12,2024-04-03
4006,21.53,2024-04-10
4006,21.74,2024-04-17
4006,22.76,2024-04-24
4006,22.01,2024-05-01
4006,22.55,2024-05-08
4006,23.02,2024-05-15
4006,23.51,2024-05-22
4006,23.31,2024-05-29
4006,24.1,2024-06-05
4006,23.85,2024-06-12
4006,25.78,2024-06-19
4006,24.61,2024-06-26
4006,25.1,2024-07-02
4006,24.7,2024-07-03
4006,25.03,2024-07-10
4006,24.92,2024-07-17
4006,25.1,2024-07-24
4006,24.5,2024-07-31
4006,25.2,2024-08-07
4006,24.5,2024-08-14
4006,25.1,2024-08-21
4006,29,2024-08-28
4006,25.4,2024-09-04
4006,26.6,2024-09-11
4006,27.2,2024-09-18
4006,28,2024-09-25
4006,28.52,2024-10-02
4006,29.16,2024-10-09
4006,28.9,2024-10-16
4007,22.5,2024-04-01
4007,23.93,2024-04-03
4007,22.91,2024-04-10
4007,22.75,2024-04-17
4007,24.95,2024-04-24
4007,24.33,2024-05-01
4007,26.49,2024-05-08
4007,25.21,2024-05-15
4007,25.76,2024-05-22
4007,25.3,2024-05-29
4007,25.06,2024-06-05
4007,24.95,2024-06-12
4007,26.54,2024-06-19
4007,26.75,2024-06-26
4007,27.4,2024-07-02
4007,26.85,2024-07-03
4007,28.02,2024-07-10
4007,26.36,2024-07-17
4007,26.88,2024-07-24
4007,26.9,2024-07-31
4007,27,2024-08-07
4007,26.8,2024-08-14
4007,27.1,2024-08-21
4007,29.6,2024-08-28
4007,29.1,2024-09-04
4007,29.2,2024-09-11
4007,30.6,2024-09-18
4007,29.4,2024-09-25
4007,30.97,2024-10-02
4007,30.93,2024-10-09
4007,30.38,2024-10-16
4008,26.1,2024-04-01
4008,25.55,2024-04-03
4008,27.21,2024-04-10
4008,28.28,2024-04-17
4008,29.8,2024-04-24
4008,29.59,2024-05-01
4008,30.65,2024-05-08
4008,29.1,2024-05-15
4008,28.48,2024-05-22
4008,29.56,2024-05-29
4008,28.94,2024-06-05
4008,29.2,2024-06-12
4008,29,2024-06-19
4008,28.52,2024-06-26
4008,30.7,2024-07-02
4008,29.85,2024-07-03
4008,29.55,2024-07-10
4008,31.05,2024-07-17
4008,31.17,2024-07-24
4008,32.46,2024-07-31
4008,31.3,2024-08-07
4008,31,2024-08-14
4008,32.8,2024-08-21
4008,32.7,2024-08-28
4008,33,2024-09-04
4008,33.7,2024-09-11
4008,33.8,2024-09-18
4008,35.3,2024-09-25
4008,34.8,2024-10-02
4008,36.16,2024-10-09
4008,37.82,2024-10-16
4009,24.9,2024-04-01
4009,25.55,2024-04-03
4009,26.05,2024-04-10
4009,27.7,2024-04-17
4009,28.49,2024-04-24
4009,29.67,2024-05-01
4009,31.48,2024-05-08
4009,30.52,2024-05-15
4009,29.84,2024-05-22
4009,30.1,2024-05-29
4009,30.1,2024-06-05
4009,28.63,2024-06-12
4009,29.22,2024-06-19
4009,28.28,2024-06-26
4009,29.6,2024-07-02
4009,29.04,2024-07-03
4009,29.1,2024-07-10
4009,29.63,2024-07-17
4009,29.75,2024-07-24
4009,30.41,2024-07-31
4009,31.2,2024-08-07
4009,30.7,2024-08-14
4009,31.5,2024-08-21
4009,32.2,2024-08-28
4009,33.5,2024-09-04
4009,33.4,2024-09-11
4009,33.8,2024-09-18
4009,34.8,2024-09-25
4009,34.89,2024-10-02
4009,35.06,2024-10-09
4009,34.85,2024-10-16
4010,25,2024-04-01
4010,24.39,2024-04-03
4010,23.84,2024-04-10
4010,24.94,2024-04-17
4010,25.43,2024-04-24
4010,26.33,2024-05-01
4010,27.46,2024-05-08
4010,29.32,2024-05-15
4010,29.24,2024-05-22
4010,29.79,2024-05-29
4010,30.88,2024-06-05
4010,29.78,2024-06-12
4010,30.57,2024-06-19
4010,30.62,2024-06-26
4010,30.9,2024-07-02
4010,30.31,2024-07-03
4010,31.24,2024-07-10
4010,32.08,2024-07-17
4010,32.23,2024-07-24
4010,32.11,2024-07-31
4010,33,2024-08-07
4010,33.2,2024-08-14
4010,33.8,2024-08-21
4010,33.9,2024-08-28
4010,34.4,2024-09-04
4010,35.2,2024-09-11
4010,26.2,2024-09-18
4010,36.6,2024-09-25
4010,36.62,2024-10-02
4010,36.56,2024-10-09
4010,37.41,2024-10-16
4011,23,2024-04-01
4011,23.55,2024-04-03
4011,23.99,2024-04-10
4011,25.2,2024-04-17
4011,25.08,2024-04-24
4011,26.94,2024-05-01
4011,27.99,2024-05-08
4011,27.77,2024-05-15
4011,27.56,2024-05-22
4011,28.35,2024-05-29
4011,28.9,2024-06-05
4011,27.47,2024-06-12
4011,27.04,2024-06-19
4011,27.57,2024-06-26
4011,27.6,2024-07-02
4011,28.3,2024-07-03
4011,28.86,2024-07-10
4011,27.55,2024-07-17
4011,28.66,2024-07-24
4011,28.94,2024-07-31
4011,30.7,2024-08-07
4011,31,2024-08-14
4011,31.3,2024-08-21
4011,31.9,2024-08-28
4011,33.3,2024-09-04
4011,33.3,2024-09-11
4011,33.8,2024-09-18
4011,33.4,2024-09-25
4011,34.12,2024-10-02
4011,34.34,2024-10-09
4011,34.55,2024-10-16
4012,24.3,2024-04-01
4012,24.9,2024-04-03
4012,24.29,2024-04-10
4012,24.73,2024-04-17
4012,25.98,2024-04-24
4012,26.59,2024-05-01
4012,26.54,2024-05-08
4012,25.94,2024-05-15
4012,27.42,2024-05-22
4012,27.35,2024-05-29
4012,26.3,2024-06-05
4012,26.52,2024-06-12
4012,27.36,2024-06-19
4012,27.33,2024-06-26
4012,27.3,2024-07-02
4012,26.68,2024-07-03
4012,27.99,2024-07-10
4012,25.91,2024-07-17
4012,27.18,2024-07-24
4012,27.28,2024-07-31
4012,26.8,2024-08-07
4012,27.8,2024-08-14
4012,27.6,2024-08-21
4012,27.4,2024-08-28
4012,28,2024-09-04
4012,28.5,2024-09-11
4012,30.2,2024-09-18
4012,29.7,2024-09-25
4012,29.89,2024-10-02
4012,31,2024-10-09
4012,30.91,2024-10-16
4013,22.9,2024-04-01
4013,22.6,2024-04-03
4013,23.14,2024-04-10
4013,22.93,2024-04-17
4013,23.22,2024-04-24
4013,23.83,2024-05-01
4013,24.49,2024-05-08
4013,25.37,2024-05-15
4013,25.41,2024-05-22
4013,25.1,2024-05-29
4013,26.29,2024-06-05
4013,26.3,2024-06-12
4013,25.78,2024-06-19
4013,26.05,2024-06-26
4013,27.4,2024-07-02
4013,26.96,2024-07-03
4013,27.38,2024-07-10
4013,26.87,2024-07-17
4013,26.65,2024-07-24
4013,27.77,2024-07-31
4013,27.5,2024-08-07
4013,28.1,2024-08-14
4013,28.4,2024-08-21
4013,27.9,2024-08-28
4013,27.6,2024-09-04
4013,28,2024-09-11
4013,28.3,2024-09-18
4013,28.7,2024-09-25
4013,28.18,2024-10-02
4013,29.03,2024-10-09
4013,28.03,2024-10-16
4014,24.9,2024-04-01
4014,24.4,2024-04-03
4014,24.24,2024-04-10
4014,24.26,2024-04-17
4014,24.5,2024-04-24
4014,24.98,2024-05-01
4014,25.58,2024-05-08
4014,25.83,2024-05-15
4014,26.34,2024-05-22
4014,26.74,2024-05-29
4014,25.88,2024-06-05
4014,26.41,2024-06-12
4014,27.99,2024-06-19
4014,27.82,2024-06-26
4014,28,2024-07-02
4014,27.76,2024-07-03
4014,28.28,2024-07-10
4014,28.4,2024-07-17
4014,27.8,2024-07-24
4014,28.93,2024-07-31
4014,27.8,2024-08-07
4014,27.6,2024-08-14
4014,28.7,2024-08-21
4014,29.8,2024-08-28
4014,29.3,2024-09-04
4014,29,2024-09-11
4014,30.7,2024-09-18
4014,30.7,2024-09-25
4014,30.86,2024-10-02
4014,31.91,2024-10-09
4014,32.35,2024-10-16
4015,24.6,2024-04-01
4015,23.33,2024-04-03
4015,23.18,2024-04-10
4015,23.76,2024-04-17
4015,24.37,2024-04-24
4015,24.59,2024-05-01
4015,24.9,2024-05-08
4015,25.37,2024-05-15
4015,26.24,2024-05-22
4015,26.72,2024-05-29
4015,27.1,2024-06-05
4015,27.93,2024-06-12
4015,28.96,2024-06-19
4015,29.16,2024-06-26
4015,30.5,2024-07-02
4015,29.6,2024-07-03
4015,30.05,2024-07-10
4015,29.65,2024-07-17
4015,30.11,2024-07-24
4015,31.22,2024-07-31
4015,32,2024-08-07
4015,33.5,2024-08-14
4015,34.2,2024-08-21
4015,34.7,2024-08-28
4015,34.8,2024-09-04
4015,35.9,2024-09-11
4015,37,2024-09-18
4015,36.6,2024-09-25
4015,36.85,2024-10-02
4015,36.83,2024-10-09
4015,37.65,2024-10-16
4016,24.4,2024-04-01
4016,24.02,2024-04-03
4016,23.51,2024-04-10
4016,23.53,2024-04-17
4016,22.97,2024-04-24
4016,24.28,2024-05-01
4016,24.41,2024-05-08
4016,25.43,2024-05-15
4016,26.11,2024-05-22
4016,25.73,2024-05-29
4016,25.81,2024-06-05
4016,25.74,2024-06-12
4016,25.79,2024-06-19
4016,25.78,2024-06-26
4016,26.3,2024-07-02
4016,25.89,2024-07-03
4016,25.55,2024-07-10
4016,26.49,2024-07-17
4016,26.83,2024-07-24
4016,26.63,2024-07-31
4016,27.9,2024-08-07
4016,27.5,2024-08-14
4016,28.2,2024-08-21
4016,28.4,2024-08-28
4016,28,2024-09-04
4016,28.6,2024-09-11
4016,30.3,2024-09-18
4016,29.8,2024-09-25
4016,29.19,2024-10-02
4016,28.18,2024-10-09
4016,28.33,2024-10-16
7860,25.35,2024-09-03
7860,25.28,2024-09-11
7860,25.65,2024-09-18
7860,26.75,2024-09-25
7860,29.53,2024-10-02
7860,30.24,2024-10-09
7860,30.21,2024-10-16
7861,24.6,2024-09-03
7861,24.89,2024-09-11
7861,25.45,2024-09-18
7861,26.75,2024-09-25
7861,28.96,2024-10-02
7861,29.32,2024-10-09
7861,29.56,2024-10-16
7862,24.1,2024-09-03
7862,23.78,2024-09-11
7862,24.5,2024-09-18
7862,26.16,2024-09-25
7862,27.08,2024-10-02
7862,27.55,2024-10-09
7862,27.65,2024-10-16
7863,26.51,2024-09-03
7863,28.06,2024-09-11
7863,28.14,2024-09-18
7863,28.12,2024-09-25
7863,29.45,2024-10-02
7863,29.33,2024-10-09
7863,29.48,2024-10-16
7864,25.82,2024-09-03
7864,25.4,2024-09-11
7864,25.14,2024-09-18
7864,25.44,2024-09-25
7864,27.26,2024-10-02
7864,28.52,2024-10-09
7864,28.2,2024-10-16
7865,28.36,2024-09-03
7865,27.43,2024-09-11
7865,28.67,2024-09-18
7865,29.09,2024-09-25
7865,31.3,2024-10-02
7865,32.03,2024-10-09
7865,33.74,2024-10-16
7866,22,2024-09-03
7866,21.77,2024-09-11
7866,23.3,2024-09-18
7866,23.65,2024-09-25
7866,24.26,2024-10-02
7866,24.52,2024-10-09
7866,23.81,2024-10-16
7867,24.65,2024-09-03
7867,23.93,2024-09-11
7867,23.84,2024-09-18
7867,24.83,2024-09-25
7867,25.99,2024-10-02
7867,25.8,2024-10-09
7867,25.93,2024-10-16
7868,24,2024-09-03
7868,23.2,2024-09-11
7868,23,2024-09-18
7868,23.48,2024-09-25
7868,23.87,2024-10-02
7868,23.23,2024-10-09
7868,23.57,2024-10-16
7869,25.14,2024-09-03
7869,23.4,2024-09-11
7869,23.54,2024-09-18
7869,23.57,2024-09-25
7869,23.66,2024-10-02
7869,23.88,2024-10-09
7869,24.42,2024-10-16
7870,21.15,2024-09-03
7870,21.59,2024-09-11
